Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
90.0,18.0,Female,High School,,5.8,Instagram,Yes,5.2,5.0,Single,4.0,9.0
91.0,22.0,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7.0,In Relationship,2.0,5.0
92.0,19.0,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6.0,Complicated,3.0,7.0
93.0,21.0,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7.0,Single,2.0,6.0
,20.0,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5.0,In Relationship,4.0,8.0
95.0,23.0,Male,Graduate,Bosnia,2.4,LinkedIn,No,,8.0,Complicated,1.0,4.0
96.0,19.0,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6.0,Single,3.0,7.0
97.0,18.0,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5.0,In Relationship,4.0,8.0
98.0,22.0,Female,,Bahrain,2.8,LinkedIn,No,7.1,8.0,Complicated,1.0,4.0
99.0,20.0,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6.0,Single,3.0,7.0
100.0,21.0,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5.0,In Relationship,4.0,8.0
101.0,19.0,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5.0,Complicated,4.0,9.0
102.0,23.0,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8.0,Single,1.0,4.0
103.0,20.0,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6.0,In Relationship,3.0,7.0
104.0,18.0,Female,High School,Syria,5.6,Instagram,Yes,5.4,,Single,4.0,8.0
105.0,22.0,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7.0,Complicated,2.0,5.0
106.0,19.0,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6.0,In Relationship,3.0,7.0
107.0,21.0,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7.0,Single,2.0,6.0
108.0,20.0,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5.0,Complicated,4.0,8.0
109.0,23.0,Male,,Sri Lanka,2.6,LinkedIn,No,7.2,8.0,In Relationship,1.0,4.0
110.0,19.0,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6.0,Single,3.0,7.0
111.0,20.0,Male,Undergraduate,,6.1,Instagram,Yes,6.2,5.0,Single,4.0,8.0
112.0,21.0,Female,Undergraduate,India,5.8,,Yes,5.9,6.0,In Relationship,3.0,7.0
113.0,19.0,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7.0,Single,2.0,5.0
114.0,22.0,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5.0,Single,4.0,8.0
115.0,20.0,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6.0,In Relationship,3.0,7.0
116.0,19.0,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8.0,Single,2.0,5.0
117.0,21.0,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5.0,In Relationship,4.0,8.0
118.0,20.0,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6.0,Single,3.0,7.0
119.0,22.0,Male,Graduate,Nepal,4.7,TikTok,No,7.3,,Single,2.0,5.0
120.0,19.0,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5.0,In Relationship,4.0,8.0
121.0,20.0,Male,Undergraduate,Sri Lanka,5.9,Facebook,,5.9,6.0,Single,3.0,7.0
122.0,21.0,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8.0,In Relationship,2.0,5.0
123.0,19.0,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5.0,Single,4.0,8.0
124.0,22.0,Female,Graduate,India,5.8,Instagram,Yes,5.8,6.0,In Relationship,3.0,
125.0,20.0,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7.0,Single,2.0,5.0
126.0,21.0,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,,In Relationship,4.0,8.0
127.0,19.0,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6.0,Single,3.0,7.0
128.0,,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8.0,In Relationship,2.0,5.0
129.0,22.0,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5.0,Single,4.0,8.0
130.0,21.0,Female,Graduate,India,5.6,Instagram,Yes,5.6,6.0,In Relationship,3.0,7.0
131.0,19.0,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7.0,Single,2.0,5.0
132.0,,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5.0,In Relationship,4.0,8.0
133.0,22.0,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6.0,Single,3.0,7.0
134.0,21.0,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8.0,In Relationship,2.0,5.0
135.0,19.0,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5.0,Single,4.0,8.0
136.0,20.0,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6.0,In Relationship,3.0,
137.0,22.0,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7.0,Single,2.0,5.0
138.0,21.0,,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5.0,In Relationship,4.0,8.0
139.0,19.0,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6.0,Single,3.0,7.0
140.0,20.0,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8.0,In Relationship,2.0,5.0
141.0,22.0,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,,Single,4.0,8.0
142.0,21.0,Female,Graduate,India,5.2,Instagram,Yes,5.2,6.0,In Relationship,3.0,7.0
143.0,19.0,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7.0,Single,2.0,5.0
144.0,20.0,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5.0,In Relationship,4.0,8.0
145.0,22.0,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6.0,Single,3.0,7.0
146.0,21.0,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8.0,In Relationship,2.0,5.0
147.0,19.0,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5.0,Single,4.0,8.0
148.0,20.0,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6.0,In Relationship,3.0,7.0
149.0,22.0,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7.0,Single,2.0,5.0
150.0,21.0,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5.0,In Relationship,4.0,8.0
151.0,19.0,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,,Single,3.0,7.0
152.0,20.0,Female,,Maldives,,,No,8.4,8.0,In Relationship,2.0,5.0
153.0,22.0,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5.0,Single,4.0,8.0
154.0,21.0,Female,Graduate,India,4.8,Instagram,Yes,4.8,6.0,In Relationship,3.0,7.0
155.0,19.0,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7.0,Single,2.0,5.0
156.0,20.0,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5.0,In Relationship,4.0,
157.0,22.0,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6.0,Single,3.0,7.0
158.0,21.0,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8.0,In Relationship,2.0,5.0
159.0,19.0,Male,Undergraduate,Bangladesh,4.1,,Yes,7.5,5.0,Single,4.0,8.0
160.0,20.0,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6.0,In Relationship,3.0,7.0
161.0,19.0,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5.0,,,7.0
162.0,21.0,Male,Graduate,India,4.8,Facebook,No,7.2,7.0,In Relationship,,6.0
163.0,20.0,Female,Undergraduate,,5.5,TikTok,Yes,5.9,6.0,Single,4.0,8.0
164.0,22.0,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5.0,In Relationship,3.0,
165.0,19.0,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7.0,Single,2.0,5.0
166.0,21.0,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6.0,In Relationship,4.0,
167.0,20.0,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5.0,Single,3.0,7.0
168.0,22.0,Male,Graduate,India,5.2,Facebook,No,7.1,7.0,In Relationship,2.0,6.0
169.0,19.0,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6.0,Single,4.0,8.0
170.0,21.0,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5.0,In Relationship,3.0,7.0
171.0,20.0,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7.0,Single,2.0,5.0
172.0,22.0,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6.0,In Relationship,4.0,8.0
173.0,19.0,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5.0,Single,3.0,7.0
174.0,21.0,Male,Graduate,India,5.1,Facebook,No,7.4,7.0,In Relationship,2.0,6.0
175.0,20.0,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6.0,Single,4.0,8.0
176.0,22.0,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5.0,In Relationship,3.0,7.0
,19.0,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7.0,Single,2.0,5.0
178.0,21.0,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6.0,In Relationship,4.0,8.0
179.0,20.0,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5.0,Single,3.0,7.0
180.0,22.0,Male,Graduate,India,5.0,Facebook,No,7.6,7.0,In Relationship,2.0,6.0
181.0,19.0,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6.0,Single,4.0,8.0
182.0,21.0,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5.0,In Relationship,3.0,7.0
183.0,20.0,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,,7.0,Single,2.0,5.0
184.0,22.0,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6.0,In Relationship,4.0,8.0
185.0,19.0,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5.0,Single,3.0,7.0
186.0,21.0,Male,Graduate,India,4.9,Facebook,No,7.8,7.0,In Relationship,2.0,6.0
187.0,20.0,Female,Undergraduate,,5.9,TikTok,Yes,5.2,6.0,Single,4.0,8.0
188.0,22.0,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5.0,In Relationship,3.0,7.0
189.0,19.0,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7.0,Single,2.0,5.0
190.0,,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6.0,In Relationship,4.0,8.0
191.0,20.0,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5.0,Single,3.0,7.0
192.0,22.0,Male,Graduate,India,4.8,Facebook,No,8.0,7.0,In Relationship,2.0,6.0
193.0,19.0,Female,Undergraduate,Nepal,6.0,,Yes,5.0,6.0,Single,4.0,8.0
194.0,21.0,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5.0,In Relationship,3.0,7.0
195.0,20.0,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7.0,Single,2.0,5.0
196.0,22.0,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6.0,In Relationship,4.0,8.0
197.0,19.0,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5.0,Single,3.0,7.0
198.0,21.0,Male,Graduate,India,4.7,Facebook,No,8.2,7.0,In Relationship,2.0,6.0
199.0,20.0,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6.0,Single,4.0,8.0
200.0,22.0,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5.0,In Relationship,3.0,7.0
201.0,19.0,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7.0,Single,2.0,5.0
202.0,21.0,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6.0,In Relationship,4.0,8.0
203.0,20.0,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5.0,Single,3.0,7.0
204.0,22.0,Male,Graduate,India,4.6,Facebook,No,8.4,7.0,In Relationship,2.0,6.0
205.0,19.0,Female,Undergraduate,Nepal,6.2,TikTok,,4.6,6.0,Single,4.0,8.0
206.0,21.0,Male,Graduate,Pakistan,4.0,Instagram,Yes,7.7,5.0,In Relationship,3.0,7.0
207.0,20.0,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7.0,Single,2.0,5.0
208.0,22.0,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6.0,In Relationship,4.0,8.0
209.0,19.0,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5.0,Single,3.0,7.0
210.0,21.0,Male,Graduate,India,4.5,Facebook,No,8.6,7.0,In Relationship,2.0,
211.0,20.0,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6.0,Single,4.0,8.0
212.0,22.0,Male,Graduate,Pakistan,3.9,Instagram,Yes,7.9,5.0,In Relationship,3.0,7.0
213.0,19.0,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7.0,Single,2.0,5.0
214.0,21.0,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6.0,In Relationship,4.0,8.0
215.0,20.0,Female,Undergraduate,Bangladesh,,Instagram,Yes,8.0,5.0,Single,3.0,7.0
216.0,22.0,Male,Graduate,India,4.4,Facebook,No,8.8,7.0,In Relationship,2.0,6.0
217.0,19.0,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6.0,Single,4.0,8.0
218.0,21.0,Male,Graduate,Pakistan,3.8,Instagram,Yes,8.1,5.0,In Relationship,3.0,7.0
219.0,20.0,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7.0,Single,2.0,5.0
220.0,22.0,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6.0,In Relationship,4.0,8.0
221.0,19.0,Female,Undergraduate,USA,6.5,Instagram,Yes,6.0,5.0,Single,4.0,9.0
222.0,21.0,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6.0,In Relationship,3.0,
223.0,20.0,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8.0,Single,2.0,5.0
224.0,22.0,Male,Graduate,Germany,4.2,Facebook,No,7.8,7.0,In Relationship,2.0,4.0
225.0,19.0,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8.0,Single,1.0,3.0
226.0,21.0,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6.0,Single,3.0,7.0
227.0,20.0,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6.0,In Relationship,3.0,6.0
228.0,22.0,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7.0,Single,2.0,5.0
229.0,-5.0,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4.0,In Relationship,4.0,9.0
230.0,21.0,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6.0,Single,3.0,7.0
231.0,20.0,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7.0,In Relationship,2.0,5.0
232.0,22.0,Male,Graduate,Germany,4.0,Instagram,No,7.9,8.0,Single,1.0,4.0
233.0,19.0,Female,Undergraduate,Japan,3.5,LINE,No,8.0,8.0,Single,1.0,3.0
234.0,21.0,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5.0,In Relationship,3.0,8.0
235.0,20.0,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.8,6.0,Single,3.0,6.0
236.0,22.0,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7.0,In Relationship,2.0,5.0
237.0,19.0,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4.0,Single,4.0,9.0
238.0,21.0,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6.0,In Relationship,3.0,7.0
239.0,20.0,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7.0,Single,2.0,5.0
240.0,22.0,Male,Graduate,Germany,4.1,Facebook,No,7.7,8.0,In Relationship,2.0,4.0
241.0,19.0,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8.0,Single,1.0,3.0
242.0,21.0,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5.0,Single,3.0,7.0
243.0,20.0,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6.0,In Relationship,3.0,6.0
244.0,22.0,Male,Graduate,Russia,4.7,VKontakte,No,7.3,7.0,Single,2.0,5.0
245.0,19.0,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4.0,In Relationship,4.0,9.0
246.0,21.0,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6.0,Single,3.0,7.0
247.0,20.0,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7.0,In Relationship,2.0,5.0
248.0,,Male,Graduate,Germany,3.9,Instagram,No,7.8,8.0,Single,1.0,4.0
249.0,19.0,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8.0,Single,1.0,3.0
250.0,21.0,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5.0,In Relationship,3.0,8.0
251.0,20.0,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6.0,Single,3.0,6.0
252.0,22.0,Male,Graduate,,4.6,VKontakte,No,7.5,7.0,In Relationship,2.0,5.0
253.0,19.0,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4.0,Single,4.0,9.0
254.0,21.0,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6.0,In Relationship,3.0,7.0
